seconde,surprise,joy,anger,fear,neutral,sadness,disgust
0,0.25,0.08,0.08,0.05,0.49,0.3,0.16
1,0.16,0.24,0.04,0.24,0.51,0.1,0.13
2,0.04,0.24,0.15,0.1,0.99,0.2,0.04
3,0.06,0.18,0.21,0.18,0.31,0.29,0.0
4,0.26,0.19,0.24,0.28,0.44,0.01,0.03
5,0.26,0.08,0.16,0.02,0.6,0.04,0.02
6,0.11,0.12,0.13,0.14,0.31,0.27,0.14
7,0.07,0.27,0.27,0.26,0.48,0.17,0.12
8,0.09,0.07,0.06,0.29,0.64,0.11,0.28
9,0.0,0.14,0.1,0.07,0.47,0.15,0.17
10,0.13,0.28,0.15,0.23,0.9,0.15,0.13
11,0.21,0.1,0.21,0.25,0.97,0.29,0.0
12,0.17,0.24,0.07,0.1,0.64,0.24,0.26
13,0.25,0.03,0.05,0.2,0.53,0.1,0.28
14,0.3,0.03,0.16,0.27,0.57,0.02,0.01
15,0.18,0.26,0.1,0.09,0.3,0.24,0.22
16,0.27,0.13,0.26,0.26,0.44,0.07,0.17
17,0.17,0.23,0.21,0.17,0.48,0.15,0.07
18,0.05,0.04,0.0,0.06,0.93,0.21,0.24
19,0.17,0.21,0.1,0.24,0.73,0.17,0.21
20,0.16,0.18,0.09,0.2,0.58,0.05,0.23
21,0.2,0.19,0.07,0.1,0.5,0.2,0.2
22,0.12,0.06,0.23,0.11,0.93,0.02,0.14
23,0.18,0.19,0.1,0.16,0.88,0.09,0.3
24,0.04,0.12,0.01,0.06,0.65,0.03,0.09
25,0.12,0.02,0.17,0.06,0.62,0.16,0.27
26,0.01,0.26,0.29,0.09,0.67,0.24,0.12
27,0.12,0.01,0.17,0.29,0.8,0.23,0.25
28,0.22,0.01,0.1,0.22,0.9,0.22,0.2
29,0.19,0.01,0.05,0.2,0.99,0.07,0.2
30,0.15,0.1,0.09,0.14,0.67,0.08,0.05
31,0.06,0.11,0.25,0.01,0.95,0.28,0.13
32,0.22,0.17,0.29,0.27,0.98,0.07,0.06
33,0.17,0.22,0.14,0.22,0.43,0.13,0.2
34,0.02,0.11,0.19,0.18,0.73,0.2,0.24
35,0.15,0.22,0.3,0.13,0.89,0.26,0.07
36,0.07,0.28,0.1,0.29,0.76,0.26,0.28
37,0.28,0.19,0.26,0.16,0.44,0.08,0.01
38,0.22,0.21,0.1,0.23,0.94,0.07,0.09
39,0.26,0.01,0.01,0.14,0.61,0.3,0.08
40,0.21,0.09,0.14,0.04,0.57,0.05,0.07
41,0.27,0.18,0.04,0.25,0.82,0.16,0.23
42,0.12,0.14,0.22,0.27,0.4,0.2,0.09
43,0.28,0.2,0.28,0.08,0.47,0.06,0.05
44,0.11,0.18,0.28,0.28,0.83,0.1,0.19
45,0.15,0.29,0.22,0.28,0.34,0.25,0.08
46,0.05,0.11,0.07,0.1,0.83,0.3,0.25
47,0.23,0.11,0.17,0.27,0.48,0.11,0.14
48,0.27,0.03,0.04,0.09,0.92,0.28,0.25
49,0.07,0.15,0.23,0.14,0.75,0.15,0.27
50,0.05,0.21,0.18,0.22,0.67,0.03,0.14
51,0.3,0.18,0.01,0.15,0.77,0.08,0.29
52,0.17,0.17,0.11,0.18,0.79,0.09,0.12
53,0.21,0.11,0.03,0.21,0.49,0.2,0.14
54,0.2,0.0,0.17,0.05,0.57,0.1,0.15
55,0.09,0.05,0.11,0.13,0.77,0.25,0.12
56,0.14,0.25,0.02,0.26,0.69,0.29,0.07
57,0.16,0.19,0.22,0.01,0.36,0.11,0.04
58,0.16,0.19,0.2,0.07,0.63,0.02,0.19
59,0.01,0.17,0.1,0.07,0.86,0.27,0.11
